Year,Sector,Degree,Period,Reef,Depth2,Transect,Type,Quantity
2023,North,29°N,Before,67,Shallow,2,Cold Water Corals,1
2009,North,29°N,After,11,Deep,5,Cold Water Corals,3
2009,North,29°N,After,5,Shallow,5,Cold Water Corals,1
2010,North,30°N,Before,7,Shallow,3,Cold Water Corals,1
2023,South,27°N,Before,75,Shallow,3,Cold Water Corals,2
2023,North,29°N,Before,25,Shallow,4,Cold Water Corals,1
2023,South,26°N,Before,31,Deep,1,Cold Water Corals,2
2009,North,29°N,After,1,Deep,4,Cold Water Corals,1
2023,North,29°N,Before,59,Shallow,1,Cold Water Corals,1
2009,South,25°N,Before,73,Deep,3,Cold Water Corals,5
2023,South,27°N,Before,86,Deep,4,Cold Water Corals,1
2009,South,26°N,After,34,Deep,6,Cold Water Corals,1
2023,North,30°N,After,8,Shallow,1,Cold Water Corals,1
2009,South,25°N,Before,73,Deep,1,Cold Water Corals,4
2009,South,26°N,After,32,Deep,7,Cold Water Corals,1
2023,South,25°N,After,73,Deep,3,Cold Water Corals,2
2009,South,27°N,After,57,Shallow,3,Cold Water Corals,3
2023,South,26°N,Before,19,Deep,3,Cold Water Corals,1
2023,South,26°N,Before,82,Deep,4,Cold Water Corals,1
2023,North,29°N,Before,60,Shallow,4,Cold Water Corals,5
2023,South,26°N,Before,28,Deep,1,Cold Water Corals,1
2010,South,27°N,After,57,Deep,3,Cold Water Corals,1
2023,North,29°N,Before,13,Deep,4,Cold Water Corals,2
2023,North,29°N,Before,13,Deep,4,Cold Water Corals,1
2023,North,29°N,Before,13,Deep,4,Cold Water Corals,3
2009,North,30°N,Before,8,Shallow,3,Cold Water Corals,6
2023,South,26°N,Before,19,Deep,2,Cold Water Corals,2
2023,North,29°N,Before,4,Deep,3,Cold Water Corals,3
2023,South,26°N,Before,19,Deep,3,Cold Water Corals,2
2023,South,27°N,Before,70,Deep,2,Cold Water Corals,3
2023,South,26°N,Before,84,Deep,3,Cold Water Corals,1
2023,North,29°N,Before,4,Deep,1,Cold Water Corals,4
2023,North,29°N,Before,2,Shallow,2,Cold Water Corals,2
2010,North,30°N,Before,7,Deep,1,Cold Water Corals,1
2009,South,26°N,After,32,Deep,7,Cold Water Corals,1
2010,South,25°N,Before,54,Deep,2,Cold Water Corals,1
2023,South,28°N,Before,78,Shallow,3,Cold Water Corals,1
2010,South,25°N,After,72,Shallow,3,Cold Water Corals,1
2023,North,29°N,Before,4,Deep,1,Cold Water Corals,5
2009,North,30°N,Before,7,Shallow,1,Cold Water Corals,1
2010,North,30°N,Before,8,Deep,3,Cold Water Corals,3
2023,South,26°N,Before,19,Deep,3,Cold Water Corals,1
2010,South,25°N,Before,54,Deep,2,Cold Water Corals,2
2010,North,30°N,Before,7,Deep,1,Cold Water Corals,1
2010,South,25°N,Before,54,Deep,2,Cold Water Corals,2
2010,North,29°N,After,5,Deep,3,Cold Water Corals,2
2009,South,27°N,After,70,Deep,2,Cold Water Corals,3
2023,North,29°N,Before,67,Deep,3,Cold Water Corals,1
2023,North,29°N,Before,67,Deep,3,Cold Water Corals,1
2010,South,28°N,After,79,Shallow,4,Cold Water Corals,1
2009,South,26°N,After,32,Deep,7,Cold Water Corals,1
2010,South,28°N,After,79,Shallow,4,Cold Water Corals,1
2009,North,30°N,Before,7,Deep,1,Cold Water Corals,3
2010,North,30°N,Before,7,Deep,1,Cold Water Corals,1
2009,North,29°N,After,1,Shallow,5,Cold Water Corals,2
2010,North,30°N,Before,7,Shallow,1,Cold Water Corals,2
2009,South,25°N,Before,72,Deep,3,Cold Water Corals,1
2010,North,30°N,Before,7,Shallow,1,Cold Water Corals,5
2023,South,26°N,Before,19,Deep,3,Cold Water Corals,1
2023,South,27°N,Before,70,Deep,2,Cold Water Corals,7
2010,South,28°N,After,9,Deep,3,Cold Water Corals,1
2023,South,26°N,Before,31,Deep,1,Cold Water Corals,5
2009,South,28°N,After,9,Deep,4,Cold Water Corals,1
2010,South,26°N,After,49,Shallow,2,Cold Water Corals,1
2009,South,27°N,After,86,Deep,5,Cold Water Corals,1
2010,North,30°N,Before,7,Deep,1,Cold Water Corals,1
2010,North,30°N,Before,7,Shallow,1,Cold Water Corals,3
2009,North,29°N,After,5,Shallow,1,Cold Water Corals,2
2009,South,27°N,After,57,Shallow,3,Cold Water Corals,2
2010,South,27°N,After,76,Deep,2,Cold Water Corals,1
2009,North,30°N,Before,8,Shallow,3,Cold Water Corals,9
2009,South,25°N,After,39,Shallow,8,Cold Water Corals,1
2010,North,30°N,Before,7,Shallow,1,Cold Water Corals,9
2010,South,26°N,After,14,Deep,3,Cold Water Corals,2
2010,South,26°N,After,27,Deep,3,Cold Water Corals,1
2010,South,26°N,After,27,Deep,3,Cold Water Corals,1
2009,South,26°N,After,32,Deep,7,Cold Water Corals,1
2009,North,30°N,Before,8,Deep,5,Cold Water Corals,1
2010,South,26°N,After,50,Deep,2,Cold Water Corals,1
2010,South,26°N,After,34,Shallow,2,Cold Water Corals,1
2009,South,27°N,After,74,Shallow,5,Cold Water Corals,1
2023,South,26°N,Before,29,Deep,2,Cold Water Corals,9
2010,South,27°N,After,74,Deep,2,Cold Water Corals,2
2009,South,26°N,After,21,Deep,1,Cold Water Corals,1
2009,North,30°N,Before,8,Shallow,3,Cold Water Corals,5
2009,South,26°N,After,18,Deep,1,Cold Water Corals,1
2023,South,25°N,After,40,Deep,4,Cold Water Corals,1
2010,North,29°N,After,56,Shallow,3,Cold Water Corals,4
2009,North,29°N,After,1,Shallow,5,Cold Water Corals,3
2010,North,29°N,After,11,Deep,2,Cold Water Corals,1
2010,South,27°N,After,74,Deep,1,Cold Water Corals,1
2010,North,29°N,After,11,Deep,2,Cold Water Corals,1
2009,South,26°N,After,34,Deep,6,Cold Water Corals,2
2009,South,26°N,After,18,Deep,7,Cold Water Corals,2
2023,North,30°N,After,8,Shallow,1,Cold Water Corals,1
2023,South,25°N,After,64,Deep,2,Cold Water Corals,1
2009,South,25°N,Before,73,Deep,1,Cold Water Corals,1
2009,South,25°N,Before,73,Deep,1,Cold Water Corals,1
2023,North,29°N,Before,4,Shallow,3,Cold Water Corals,7
2023,North,29°N,Before,5,Shallow,4,Cold Water Corals,1
2010,North,30°N,Before,7,Deep,4,Cold Water Corals,7
2009,North,30°N,Before,7,Deep,5,Cold Water Corals,1
2023,South,28°N,Before,78,Deep,2,Cold Water Corals,1
2010,North,30°N,Before,7,Shallow,3,Cold Water Corals,8
2009,North,29°N,After,13,Shallow,1,Cold Water Corals,1
2023,North,29°N,Before,11,Deep,1,Cold Water Corals,4
2023,North,29°N,Before,2,Deep,1,Cold Water Corals,3
2023,South,28°N,Before,77,Deep,1,Cold Water Corals,3
2023,South,28°N,Before,77,Deep,1,Cold Water Corals,3
2023,North,30°N,After,8,Shallow,2,Cold Water Corals,1
2009,South,26°N,After,14,Deep,7,Cold Water Corals,1
2023,South,27°N,Before,70,Deep,3,Cold Water Corals,2
2023,South,27°N,Before,70,Deep,3,Cold Water Corals,1
2009,North,29°N,After,88,Deep,5,Cold Water Corals,1
2009,South,25°N,Before,52,Deep,3,Cold Water Corals,1
2023,South,27°N,Before,74,Deep,1,Cold Water Corals,1
2009,North,30°N,Before,8,Shallow,3,Cold Water Corals,2
2010,South,26°N,After,34,Shallow,2,Cold Water Corals,2
2023,North,30°N,After,8,Deep,3,Cold Water Corals,4
2010,South,27°N,After,76,Deep,2,Cold Water Corals,1
2023,North,30°N,After,8,Deep,3,Cold Water Corals,5
2010,South,27°N,After,76,Deep,2,Cold Water Corals,1
2009,South,26°N,After,34,Deep,5,Cold Water Corals,1
2009,North,30°N,Before,7,Shallow,1,Cold Water Corals,1
2009,North,30°N,Before,7,Shallow,1,Cold Water Corals,1
2009,North,30°N,Before,7,Shallow,1,Cold Water Corals,1
2009,South,28°N,After,77,Shallow,4,Cold Water Corals,2
2009,North,29°N,After,5,Shallow,5,Cold Water Corals,1
2010,South,27°N,After,74,Deep,3,Cold Water Corals,1
2010,South,27°N,After,74,Deep,3,Cold Water Corals,3
2023,South,26°N,Before,34,Deep,4,Cold Water Corals,1
2023,North,29°N,Before,25,Deep,4,Cold Water Corals,1
2009,South,25°N,Before,73,Deep,3,Cold Water Corals,3
2023,North,29°N,Before,2,Shallow,2,Cold Water Corals,1
2023,South,27°N,Before,85,Shallow,2,Cold Water Corals,1
2009,North,29°N,After,1,Shallow,1,Cold Water Corals,1
2023,South,27°N,Before,75,Shallow,3,Cold Water Corals,2
2023,South,26°N,Before,34,Shallow,1,Cold Water Corals,1
2009,South,26°N,After,51,Shallow,7,Cold Water Corals,1
2023,North,29°N,Before,67,Shallow,3,Cold Water Corals,2
2023,North,29°N,Before,5,Shallow,4,Cold Water Corals,1
2023,South,26°N,Before,32,Deep,4,Cold Water Corals,2
2023,South,24°N,Before,43,Deep,4,Cold Water Corals,5
2009,South,26°N,After,51,Shallow,3,Cold Water Corals,1
2010,North,29°N,After,5,Deep,4,Cold Water Corals,2
2009,North,29°N,After,30,Deep,1,Cold Water Corals,1
2009,North,29°N,After,30,Deep,1,Cold Water Corals,1
2023,North,29°N,Before,59,Shallow,1,Cold Water Corals,3
2010,South,25°N,Before,72,Deep,1,Cold Water Corals,1
2009,North,29°N,After,30,Deep,1,Cold Water Corals,2
2009,South,27°N,After,70,Deep,1,Cold Water Corals,1
2023,North,29°N,Before,67,Deep,2,Cold Water Corals,3
2023,North,29°N,Before,4,Shallow,1,Cold Water Corals,1
2010,South,26°N,After,29,Deep,3,Cold Water Corals,1
2009,South,26°N,After,51,Shallow,8,Cold Water Corals,1
2023,South,27°N,Before,85,Deep,1,Cold Water Corals,2
2009,North,30°N,Before,8,Deep,5,Cold Water Corals,2
2023,North,29°N,Before,4,Deep,3,Cold Water Corals,4
2009,South,26°N,After,29,Deep,8,Cold Water Corals,1
2009,South,27°N,After,74,Shallow,5,Cold Water Corals,1
2023,South,26°N,Before,82,Deep,3,Cold Water Corals,4
2023,North,29°N,Before,66,Deep,3,Cold Water Corals,2
2023,North,29°N,Before,5,Deep,4,Cold Water Corals,1
2023,North,29°N,Before,11,Deep,2,Cold Water Corals,8
2009,South,24°N,Before,44,Shallow,2,Cold Water Corals,1
2023,North,29°N,Before,11,Deep,2,Cold Water Corals,1
2023,South,25°N,After,53,Deep,4,Cold Water Corals,1
2023,South,25°N,After,68,Deep,3,Cold Water Corals,1
2023,South,25°N,After,68,Deep,3,Cold Water Corals,1
2023,South,26°N,Before,84,Shallow,3,Cold Water Corals,8
2010,North,29°N,After,63,Shallow,4,Cold Water Corals,2
2023,South,26°N,Before,84,Deep,4,Cold Water Corals,1
2010,North,30°N,Before,8,Shallow,2,Cold Water Corals,3
2023,South,26°N,Before,32,Deep,3,Cold Water Corals,2
2009,South,27°N,After,74,Deep,4,Cold Water Corals,3
2023,North,30°N,After,8,Shallow,1,Cold Water Corals,1
2009,South,25°N,Before,73,Deep,1,Cold Water Corals,1
2023,South,25°N,After,73,Deep,1,Cold Water Corals,1
2010,North,29°N,After,56,Shallow,4,Cold Water Corals,4
2023,South,28°N,Before,80,Deep,1,Cold Water Corals,1
2023,South,27°N,Before,71,Deep,4,Cold Water Corals,2
2009,South,25°N,Before,40,Deep,6,Cold Water Corals,1
2010,South,27°N,After,85,Deep,2,Cold Water Corals,5
2010,North,30°N,Before,8,Deep,2,Cold Water Corals,2
2009,North,29°N,After,25,Deep,5,Cold Water Corals,1
2023,South,26°N,Before,29,Deep,4,Cold Water Corals,1
2010,North,30°N,Before,7,Deep,4,Cold Water Corals,4
2009,South,26°N,After,29,Shallow,4,Cold Water Corals,1
2009,South,26°N,After,29,Shallow,4,Cold Water Corals,1
2010,North,30°N,Before,8,Deep,4,Cold Water Corals,2
2023,South,27°N,Before,75,Deep,3,Cold Water Corals,1
2010,South,28°N,After,79,Shallow,2,Cold Water Corals,1
2009,South,26°N,After,18,Deep,3,Cold Water Corals,3
2009,North,29°N,After,1,Shallow,4,Cold Water Corals,1
2010,South,28°N,After,79,Shallow,3,Cold Water Corals,1
2009,North,30°N,Before,8,Shallow,6,Cold Water Corals,1
2023,South,27°N,Before,85,Deep,4,Cold Water Corals,1
2023,South,27°N,Before,85,Deep,4,Cold Water Corals,1
2009,South,25°N,Before,73,Deep,7,Cold Water Corals,1
2023,South,27°N,Before,85,Deep,4,Cold Water Corals,1
2023,North,29°N,Before,2,Shallow,1,Cold Water Corals,1
2010,South,26°N,After,32,Deep,2,Cold Water Corals,1
2023,North,29°N,Before,35,Shallow,1,Cold Water Corals,3
2009,South,25°N,Before,73,Deep,2,Cold Water Corals,1
2023,South,27°N,Before,74,Deep,1,Cold Water Corals,1
2023,North,29°N,Before,4,Deep,3,Cold Water Corals,1
2023,North,29°N,Before,4,Deep,3,Cold Water Corals,1
2023,South,26°N,Before,29,Deep,1,Cold Water Corals,1
2023,North,29°N,Before,5,Deep,2,Cold Water Corals,1
2009,North,29°N,After,1,Shallow,5,Cold Water Corals,2
2009,South,28°N,After,78,Deep,4,Cold Water Corals,3
2009,South,27°N,After,76,Deep,4,Cold Water Corals,1
2023,South,26°N,Before,31,Shallow,3,Cold Water Corals,1
2023,South,28°N,Before,79,Deep,4,Cold Water Corals,2
2010,South,27°N,After,76,Deep,4,Cold Water Corals,1
2023,North,29°N,Before,4,Shallow,2,Cold Water Corals,2
2023,South,27°N,Before,71,Shallow,3,Cold Water Corals,1
2010,North,30°N,Before,7,Shallow,2,Cold Water Corals,2
2009,South,28°N,After,78,Deep,5,Cold Water Corals,1
2009,South,28°N,After,78,Deep,5,Cold Water Corals,1
2010,North,29°N,After,11,Deep,2,Cold Water Corals,1
2023,South,26°N,Before,28,Deep,3,Cold Water Corals,4
2023,South,25°N,After,73,Deep,4,Cold Water Corals,1
2009,North,29°N,After,67,Deep,3,Cold Water Corals,1
2023,South,27°N,Before,71,Shallow,4,Cold Water Corals,1
2009,South,27°N,After,76,Deep,5,Cold Water Corals,1
2010,South,25°N,Before,54,Deep,3,Cold Water Corals,2
2010,South,25°N,Before,54,Deep,3,Cold Water Corals,3
2009,South,25°N,Before,72,Deep,5,Cold Water Corals,1
2023,North,30°N,After,8,Shallow,1,Cold Water Corals,3
2009,South,25°N,Before,72,Deep,5,Cold Water Corals,1
2023,North,30°N,After,8,Shallow,1,Cold Water Corals,6
2023,South,25°N,After,81,Deep,1,Cold Water Corals,1
2023,North,29°N,Before,4,Shallow,3,Cold Water Corals,3
2009,South,25°N,Before,72,Deep,5,Cold Water Corals,6
2023,North,29°N,Before,4,Shallow,3,Cold Water Corals,2
2009,North,30°N,Before,8,Deep,4,Cold Water Corals,2
2009,South,28°N,After,78,Deep,6,Cold Water Corals,2
2023,North,29°N,Before,59,Shallow,1,Cold Water Corals,10
2023,South,25°N,After,72,Deep,3,Cold Water Corals,2
2009,South,24°N,Before,44,Shallow,5,Cold Water Corals,1
2010,North,30°N,Before,7,Deep,4,Cold Water Corals,7
2010,North,30°N,Before,7,Shallow,3,Cold Water Corals,1
2010,North,30°N,Before,7,Shallow,3,Cold Water Corals,3
2009,North,30°N,Before,7,Deep,5,Cold Water Corals,2
2009,North,30°N,Before,7,Deep,5,Cold Water Corals,1
2009,South,26°N,After,34,Deep,2,Cold Water Corals,1
2023,North,29°N,Before,63,Shallow,3,Cold Water Corals,1
2023,North,29°N,Before,11,Deep,1,Cold Water Corals,5
2009,South,24°N,Before,44,Shallow,7,Cold Water Corals,1
2009,South,26°N,After,28,Deep,2,Cold Water Corals,2
2023,North,29°N,Before,25,Shallow,1,Cold Water Corals,10
2009,North,29°N,After,5,Shallow,3,Cold Water Corals,1
2009,South,25°N,Before,72,Deep,6,Cold Water Corals,2
2023,North,30°N,After,8,Shallow,2,Cold Water Corals,1
2010,North,30°N,Before,7,Shallow,4,Cold Water Corals,5
2009,South,27°N,After,74,Shallow,5,Cold Water Corals,1
2009,South,26°N,After,31,Deep,8,Cold Water Corals,1
2010,South,26°N,After,50,Deep,2,Cold Water Corals,2
2009,South,27°N,After,57,Deep,7,Cold Water Corals,2
2009,South,27°N,After,57,Deep,7,Cold Water Corals,1
2009,South,28°N,After,78,Shallow,1,Cold Water Corals,2
2009,South,26°N,After,34,Deep,5,Cold Water Corals,2
2010,North,30°N,Before,8,Deep,1,Cold Water Corals,3
2010,North,30°N,Before,8,Deep,1,Cold Water Corals,3
2023,South,28°N,Before,78,Deep,3,Cold Water Corals,1
2009,South,25°N,Before,72,Deep,7,Cold Water Corals,2
2009,North,29°N,After,30,Shallow,5,Cold Water Corals,1
2009,North,29°N,After,30,Shallow,5,Cold Water Corals,1
2023,South,27°N,Before,70,Shallow,1,Cold Water Corals,1
2009,South,27°N,After,74,Shallow,6,Cold Water Corals,1
2023,South,28°N,Before,80,Deep,4,Cold Water Corals,1
2009,North,29°N,After,67,Shallow,1,Cold Water Corals,1
2010,South,26°N,After,32,Shallow,3,Cold Water Corals,1
2023,North,29°N,Before,66,Shallow,1,Cold Water Corals,2
2010,North,29°N,After,63,Shallow,1,Cold Water Corals,2
2023,North,29°N,Before,67,Shallow,2,Cold Water Corals,2
2010,South,26°N,After,32,Shallow,3,Cold Water Corals,1
2010,South,27°N,After,74,Deep,4,Cold Water Corals,1
2009,South,24°N,Before,44,Shallow,1,Cold Water Corals,3
2009,North,30°N,Before,8,Deep,4,Cold Water Corals,2
2023,South,26°N,Before,82,Shallow,1,Cold Water Corals,2
2009,North,30°N,Before,8,Shallow,2,Cold Water Corals,2
2009,South,27°N,After,70,Deep,1,Cold Water Corals,1
2023,South,25°N,After,53,Deep,3,Cold Water Corals,1
2023,South,25°N,After,53,Deep,3,Cold Water Corals,1
2023,North,29°N,Before,11,Deep,1,Cold Water Corals,3
2023,South,27°N,Before,70,Shallow,4,Cold Water Corals,1
2009,South,27°N,After,86,Deep,1,Cold Water Corals,1
2023,South,27°N,Before,86,Shallow,1,Cold Water Corals,1
2009,North,29°N,After,1,Shallow,4,Cold Water Corals,1
2023,South,27°N,Before,76,Shallow,3,Cold Water Corals,2
2009,South,28°N,After,78,Shallow,5,Cold Water Corals,1
2023,South,27°N,Before,76,Shallow,3,Cold Water Corals,2
2010,North,29°N,After,56,Shallow,3,Cold Water Corals,2
2023,South,27°N,Before,85,Deep,1,Cold Water Corals,2
2009,South,25°N,Before,52,Deep,5,Cold Water Corals,2
2009,North,30°N,Before,8,Shallow,3,Cold Water Corals,4
2009,South,25°N,Before,52,Deep,5,Cold Water Corals,1
2023,North,29°N,Before,4,Deep,3,Cold Water Corals,1
2010,North,29°N,After,89,Shallow,2,Cold Water Corals,2
2009,South,24°N,Before,44,Shallow,2,Cold Water Corals,2
2010,North,29°N,After,56,Deep,3,Cold Water Corals,8
2010,North,30°N,Before,8,Deep,3,Cold Water Corals,5
2010,North,29°N,After,56,Deep,3,Cold Water Corals,4
2010,North,30°N,Before,8,Deep,3,Cold Water Corals,1
2009,South,26°N,After,21,Deep,2,Cold Water Corals,1
2023,South,27°N,Before,76,Shallow,4,Cold Water Corals,2
2023,South,27°N,Before,76,Shallow,4,Cold Water Corals,2
2023,North,29°N,Before,11,Deep,2,Cold Water Corals,9
2010,North,30°N,Before,8,Deep,3,Cold Water Corals,6
2010,North,29°N,After,26,Deep,3,Cold Water Corals,1
2009,South,26°N,After,34,Shallow,1,Cold Water Corals,1
2009,North,29°N,After,1,Shallow,5,Cold Water Corals,2
2010,South,27°N,After,76,Deep,2,Cold Water Corals,2
2010,South,26°N,After,29,Deep,2,Cold Water Corals,4
2023,North,29°N,Before,2,Shallow,2,Cold Water Corals,1
2009,South,27°N,After,74,Deep,4,Cold Water Corals,3
2009,North,30°N,Before,7,Shallow,2,Cold Water Corals,1
2009,North,30°N,Before,7,Deep,1,Cold Water Corals,3
2009,North,30°N,Before,8,Shallow,4,Cold Water Corals,1
2009,South,26°N,After,31,Deep,2,Cold Water Corals,1
2023,North,29°N,Before,2,Deep,3,Cold Water Corals,1
2023,South,26°N,Before,29,Deep,3,Cold Water Corals,3
2010,North,29°N,After,56,Shallow,4,Cold Water Corals,3
2023,South,26°N,Before,83,Shallow,2,Cold Water Corals,1
2023,South,26°N,Before,31,Deep,1,Cold Water Corals,3
2010,South,25°N,Before,54,Deep,1,Cold Water Corals,5
2010,North,30°N,Before,7,Deep,4,Cold Water Corals,4
2009,South,28°N,After,87,Shallow,5,Cold Water Corals,1
2010,North,29°N,After,30,Deep,4,Cold Water Corals,1
2010,North,30°N,Before,8,Deep,4,Cold Water Corals,1
2009,South,27°N,After,57,Deep,1,Cold Water Corals,1
2023,South,27°N,Before,70,Deep,4,Cold Water Corals,4
2009,South,25°N,After,39,Shallow,8,Cold Water Corals,1
2023,North,29°N,Before,4,Deep,3,Cold Water Corals,2
2009,South,27°N,After,86,Deep,5,Cold Water Corals,1
2010,South,27°N,After,76,Deep,2,Cold Water Corals,2
2009,South,27°N,After,57,Deep,3,Cold Water Corals,2
2023,North,29°N,Before,25,Deep,3,Cold Water Corals,1
2023,North,29°N,Before,2,Shallow,1,Cold Water Corals,1
2009,South,27°N,After,57,Deep,3,Cold Water Corals,2
2023,North,29°N,Before,35,Shallow,1,Cold Water Corals,1
2010,South,26°N,After,34,Deep,3,Cold Water Corals,1
2009,South,27°N,After,86,Deep,5,Cold Water Corals,1
2023,South,28°N,Before,80,Deep,2,Cold Water Corals,1
2023,South,25°N,After,73,Deep,3,Cold Water Corals,1
2023,South,27°N,Before,70,Deep,2,Cold Water Corals,3
2009,North,29°N,After,5,Deep,5,Cold Water Corals,1
2023,North,29°N,Before,66,Shallow,3,Cold Water Corals,1
2023,South,26°N,Before,14,Deep,3,Cold Water Corals,1
2023,North,29°N,Before,11,Shallow,1,Cold Water Corals,1
2010,South,25°N,Before,72,Deep,4,Cold Water Corals,4
2023,South,26°N,Before,31,Shallow,3,Cold Water Corals,1
2010,South,25°N,Before,72,Deep,4,Cold Water Corals,3
2023,North,29°N,Before,63,Shallow,1,Cold Water Corals,1
2023,South,28°N,Before,80,Deep,3,Cold Water Corals,1
2023,South,28°N,Before,80,Deep,3,Cold Water Corals,1
2010,South,26°N,After,51,Shallow,1,Cold Water Corals,1
2009,North,29°N,After,63,Deep,3,Cold Water Corals,1
2010,South,27°N,After,76,Deep,4,Cold Water Corals,1
2010,North,30°N,Before,8,Shallow,2,Cold Water Corals,1
2023,South,25°N,After,45,Deep,2,Cold Water Corals,1
2010,South,27°N,After,74,Deep,1,Cold Water Corals,1
2010,South,28°N,After,79,Deep,2,Cold Water Corals,2
2023,South,26°N,Before,84,Deep,1,Cold Water Corals,1
2023,South,27°N,Before,75,Shallow,3,Cold Water Corals,2
2009,North,29°N,After,67,Deep,3,Cold Water Corals,1
2010,South,27°N,After,76,Shallow,3,Cold Water Corals,1
2010,South,27°N,After,76,Shallow,3,Cold Water Corals,1
2023,South,25°N,After,45,Deep,3,Cold Water Corals,2
2009,North,29°N,After,67,Deep,3,Cold Water Corals,2
2010,South,26°N,After,51,Shallow,2,Cold Water Corals,1
2023,North,29°N,Before,4,Shallow,3,Cold Water Corals,2
2009,South,27°N,After,76,Deep,5,Cold Water Corals,2
2009,North,30°N,Before,8,Deep,4,Cold Water Corals,1
2009,South,27°N,After,76,Deep,5,Cold Water Corals,3
2009,North,29°N,After,66,Shallow,2,Cold Water Corals,1
2009,South,28°N,After,9,Deep,4,Cold Water Corals,1
2010,North,29°N,After,1,Deep,1,Cold Water Corals,1
2009,North,29°N,After,11,Deep,2,Cold Water Corals,1
2023,North,29°N,Before,60,Shallow,1,Cold Water Corals,1
2009,North,29°N,After,1,Deep,4,Cold Water Corals,2
2009,North,29°N,After,30,Deep,5,Cold Water Corals,1
2010,South,26°N,After,28,Shallow,1,Cold Water Corals,1
2009,North,30°N,Before,8,Shallow,3,Cold Water Corals,9
2023,North,30°N,After,8,Deep,3,Cold Water Corals,3
2009,South,27°N,After,76,Deep,5,Cold Water Corals,1
2023,North,29°N,Before,35,Shallow,1,Cold Water Corals,3
2023,North,29°N,Before,25,Shallow,4,Cold Water Corals,1
2009,South,26°N,After,27,Deep,4,Cold Water Corals,1
2023,South,26°N,Before,28,Deep,1,Cold Water Corals,1
2010,South,26°N,After,51,Shallow,1,Cold Water Corals,1
2023,North,29°N,Before,35,Shallow,1,Cold Water Corals,3
2009,North,29°N,After,5,Deep,5,Cold Water Corals,1
2023,North,29°N,Before,25,Deep,4,Cold Water Corals,2
2010,North,30°N,Before,8,Deep,3,Cold Water Corals,7
2023,South,28°N,Before,77,Deep,4,Cold Water Corals,1
2010,South,25°N,Before,73,Deep,1,Cold Water Corals,3
2023,South,27°N,Before,71,Shallow,1,Cold Water Corals,3
2023,North,29°N,Before,4,Shallow,3,Cold Water Corals,1
2023,South,26°N,Before,19,Deep,3,Cold Water Corals,2
2009,South,26°N,After,32,Deep,7,Cold Water Corals,1
